"settlements","nb_cluster"
"manyattakulapesa","1"
"mlawai","2"
"naigero","3"
"kitachoni","4"
"ulauli","5"
"ndikir","6"
"manyattangamia","7"
"lkurumbule","8"
"trinityvillage","9"
"uyaam","10"
"dubsahayadiyakhiche","11"
"rongumonaale","12"
"saalesegelan","13"
"mataarbahfecha","14"
"nebeylmanteison","15"
"dubsahaynamarei","16"
"ntil","17"
"lasaen","18"
"harugura","19"
"saigorblependela","20"
"asikawal","21"
"longeruno","22"
"sambamba","23"
"ilbarok","24"
"soweto","25"
"kulapesa","26"
"nakwamekwi","27"
"palo","28"
"moite","29"
"losikiriachi","30"
"townolturot","31"
"ltirim","32"
"gooborre","33"
"urowen","RC"
"gabana","RC"
"shalte","RC"
"tungu","RC"
