"settlements","nb_cluster"
"natodomeri","1"
"napakemejen","2"
"munoi","3"
"nakilinga","4"
"nakwamekwi","5"
"nakinometa","6"
"nasolar","7"
"katongun","8"
"maisa","9"
"lowasakenyaoil","10"
"lomakat","11"
"yeya","12"
"natiir","13"
"ekengot","14"
"nangorkitoe","15"
"nairobib","16"
"koborin","17"
"murueris","18"
"akaiot","19"
"ngipidinga","20"
"kangibenyoi","21"
"kangiloi","22"
"napalakipor","23"
"kangamojoj","24"
"kambisafib","RC"
"pringan","25"
"kiwanjandegea","26"
"lakeside","27"
"asekon","28"
"nasura","RC"
"kokiselei","29"
"smallerus","30"
"nayanaekabaran","31"
"moriedou","RC"
"katiko","32"
"nasopo","33"
"manalongoria","35"
"naoyatira","36"
"ekingol","37"
