"settlements","nb_cluster"
"anolecentral","1"
"abdiwaqoliban","2"
"baqala","RC"
"kilkiley","3"
"bwagberi","4"
"btarbaja","5"
"bdam","6"
"bcentral","7"
"bhodhan","8"
"bshallete","9"
"bgadud","10"
"bbagdad","11"
"btowhid","12"
"bshineshine","13"
"bslaughter","14"
"bjogoobledi","15"
"bkom","16"
"blmd","RC"
"bpolytechnic","17"
"halanepower","18"
"funanbua","19"
"beramua","20"
"golbo","21"
"tuloroba","22"
"dugo","23"
"aligurey","24"
"jarte","25"
"garkillo","26"
"bosicha","27"
"bullamachine","28"
"centralb","RC"
"btechnic","29"
"dulgub","30"
"abaq","31"
"asmara","32"
"dayday","33"
"atherider","RC"
"siriwa","34"
"gordop","35"
"hothana","36"
"hubsoy","RC"
"bulakurman","37"
"bulacentral","38"
"abaqfotle","39"
"bulahospital","40"
"gorichahtr","41"
