"HH","Cluster","HH_members_Total","HH_members_u5","joined_HH_total","joined_HH_u5","left_HH_total","left_HH_u5","Births","Deaths_Total","Deaths_u5"
"1","1","5","2","0","0","0","0","1","0","0"
"2","1","6","1","0","0","0","0","0","0","0"
"3","1","7","1","0","0","0","0","0","0","0"
"4","1","3","1","0","0","0","0","0","0","0"
"6","1","3","2","0","0","0","0","0","0","0"
"7","1","4","2","0","0","0","0","0","0","0"
"8","1","9","2","0","0","0","0","0","0","0"
"9","1","7","2","1","0","0","0","0","0","0"
"11","1","8","1","0","0","1","0","0","0","0"
"12","1","4","1","0","0","0","0","0","0","0"
"13","1","4","2","0","0","0","0","0","1","0"
"14","1","4","1","0","0","0","0","0","0","0"
"1","2","4","0","1","0","0","0","0","0","0"
"2","2","4","2","0","0","0","0","0","0","0"
"3","2","4","2","0","0","0","0","0","0","0"
"4","2","4","0","0","0","0","0","0","0","0"
"6","2","3","1","0","0","0","0","0","0","0"
"7","2","8","4","1","1","0","0","0","0","0"
"8","2","3","1","0","0","1","0","0","0","0"
"9","2","4","0","0","0","1","1","0","0","0"
"11","2","2","0","0","0","0","0","0","0","0"
"12","2","1","0","0","0","0","0","0","0","0"
"13","2","2","1","0","0","0","0","1","0","0"
"14","2","3","1","0","0","0","0","0","0","0"
"1","3","13","1","0","0","1","0","0","0","0"
"2","3","6","1","0","0","1","0","0","0","0"
"3","3","3","1","0","0","1","0","0","0","0"
"4","3","12","1","1","0","1","0","0","0","0"
"6","3","3","1","2","1","0","0","0","0","0"
"7","3","5","2","0","0","0","0","0","0","0"
"8","3","3","1","0","0","0","0","0","0","0"
"9","3","5","1","0","1","1","0","0","0","0"
"11","3","4","2","0","0","0","0","0","0","0"
"12","3","4","2","0","0","0","0","0","0","0"
"13","3","6","2","2","0","2","0","0","0","0"
"14","3","3","1","0","0","0","0","0","0","0"
"1","5","16","2","0","0","2","0","0","1","0"
"2","5","6","2","0","0","0","0","0","0","0"
"3","5","5","2","0","0","0","0","0","0","0"
"4","5","5","1","0","0","0","0","0","0","0"
"6","5","5","0","0","0","0","0","0","0","0"
"7","5","3","0","0","0","0","0","0","0","0"
"8","5","7","2","0","0","0","0","0","0","0"
"9","5","7","1","0","0","0","0","0","0","0"
"11","5","4","1","0","0","0","0","0","0","0"
"12","5","5","1","0","0","0","0","1","0","0"
"13","5","5","2","0","0","0","0","0","0","0"
"14","5","5","2","0","0","0","0","0","0","0"
"1","6","3","1","0","0","0","0","0","0","0"
"2","6","6","0","0","0","0","0","0","0","0"
"3","6","4","0","0","0","3","0","0","0","0"
"4","6","4","2","0","0","0","0","0","1","0"
"6","6","9","1","0","0","4","0","0","0","0"
"7","6","5","0","0","0","0","0","0","0","0"
"8","6","5","1","0","0","0","0","0","0","0"
"9","6","6","2","0","0","3","0","1","0","0"
"11","6","5","0","0","0","1","0","0","0","0"
"12","6","4","0","0","0","0","0","0","0","0"
"13","6","3","1","0","0","0","0","1","0","0"
"14","6","9","0","0","0","0","0","0","0","0"
"1","7","7","0","0","0","1","0","0","0","0"
"2","7","12","0","0","0","0","0","0","0","0"
"3","7","3","1","0","0","0","0","0","0","0"
"4","7","7","0","0","0","2","2","0","0","0"
"6","7","8","1","0","0","0","0","0","0","0"
"7","7","10","0","0","0","2","0","0","0","0"
"8","7","4","0","0","0","0","0","0","0","0"
"9","7","6","0","0","0","2","0","0","0","0"
"11","7","7","0","0","0","0","0","0","0","0"
"12","7","9","1","0","0","1","0","0","0","0"
"13","7","3","0","0","0","2","0","0","0","0"
"14","7","5","1","0","0","3","0","0","0","0"
"1","8","3","0","0","0","0","0","0","0","0"
"2","8","4","0","0","0","0","0","0","0","0"
"3","8","8","0","0","0","2","0","0","0","0"
"4","8","6","1","0","0","2","0","0","0","0"
"6","8","6","1","2","0","2","0","0","0","0"
"7","8","7","0","0","0","0","0","0","0","0"
"8","8","8","2","1","0","0","0","0","0","0"
"9","8","5","1","1","0","1","0","0","0","0"
"11","8","4","3","0","0","0","0","0","0","0"
"12","8","4","2","0","0","0","0","1","0","0"
"13","8","6","1","0","0","0","0","0","0","0"
"14","8","2","1","0","0","0","0","1","0","0"
"1","9","4","0","0","0","0","0","1","0","0"
"2","9","6","0","0","0","0","0","1","0","0"
"3","9","2","0","0","0","0","0","1","0","0"
"4","9","4","1","0","0","0","0","1","0","0"
"6","9","8","1","0","0","0","0","1","0","0"
"7","9","7","2","3","1","0","0","1","0","0"
"8","9","3","1","0","0","0","0","1","0","0"
"9","9","4","1","0","0","0","0","1","0","0"
"11","9","4","1","0","0","0","0","1","0","0"
"12","9","5","0","0","0","1","0","1","0","0"
"13","9","9","2","3","1","0","0","1","0","0"
"14","9","5","2","0","0","0","0","1","0","0"
"1","11","4","2","0","0","1","0","0","0","0"
