"HH","Cluster","HH_members_Total","HH_members_u5","joined_HH_total","joined_HH_u5","left_HH_total","left_HH_u5","Births","Deaths_Total","Deaths_u5"
"1","6","5","2","0","0","0","0","0","0","0"
"2","6","6","2","1","0","0","0","0","0","0"
"3","6","4","1","0","0","0","0","0","0","0"
"4","6","4","2","0","0","0","0","0","0","0"
"5","6","7","2","0","0","0","0","1","0","0"
"6","6","5","2","0","0","0","0","0","0","0"
"7","6","4","2","0","0","0","0","0","0","0"
"8","6","7","0","2","0","0","0","0","0","0"
"9","6","5","1","0","0","0","0","0","0","0"
"10","6","5","0","0","0","0","0","0","0","0"
"11","6","6","2","0","0","0","0","0","0","0"
"12","6","6","2","0","0","0","0","1","0","0"
"13","6","6","1","1","0","0","0","0","0","0"
"14","6","4","1","0","0","0","0","0","0","0"
"15","6","6","0","0","0","0","0","0","0","0"
"16","6","7","2","0","0","0","0","0","0","0"
"17","6","4","0","0","0","0","0","0","0","0"
"18","6","5","2","0","0","0","0","0","0","0"
"19","6","4","1","0","0","0","0","0","0","0"
"20","6","5","1","0","0","0","0","0","0","0"
"21","6","6","0","0","0","0","0","0","0","0"
"22","6","5","1","0","0","0","0","0","0","0"
"23","6","7","2","0","0","0","0","0","0","0"
"24","6","4","0","0","0","0","0","0","0","0"
"25","6","9","2","0","0","0","0","0","0","0"
"26","6","5","1","0","0","0","0","0","0","0"
"1","24","5","1","0","0","0","0","0","0","0"
"2","24","4","2","0","0","0","0","0","0","0"
"3","24","7","1","0","0","0","0","0","0","0"
"4","24","5","1","0","0","0","0","0","1","1"
"5","24","4","1","0","0","0","0","0","0","0"
"6","24","6","1","0","0","0","0","0","0","0"
"7","24","5","0","0","0","0","0","0","0","0"
"8","24","7","2","1","0","0","0","0","0","0"
"9","24","6","2","0","0","0","0","0","0","0"
"10","24","5","2","0","0","0","0","0","0","0"
"11","24","4","1","0","0","0","0","0","0","0"
"12","24","4","2","0","0","0","0","0","0","0"
"13","24","5","1","0","0","0","0","0","0","0"
"14","24","4","0","0","0","0","0","0","0","0"
"15","24","4","2","0","0","0","0","0","1","0"
"16","24","5","1","0","0","0","0","0","0","0"
"17","24","5","1","0","0","0","0","0","0","0"
"18","24","4","0","0","0","0","0","0","0","0"
"19","24","7","2","0","0","0","0","0","0","0"
"20","24","4","2","0","0","0","0","0","0","0"
"21","24","5","1","0","0","0","0","0","0","0"
"22","24","5","2","0","0","1","0","0","0","0"
"23","24","6","2","1","0","0","0","0","0","0"
"24","24","7","1","1","0","0","0","0","0","0"
"25","24","6","1","0","0","0","0","1","0","0"
"26","24","5","2","0","0","0","0","0","0","0"
"1","8","9","2","1","0","0","0","0","0","0"
"2","8","4","1","0","0","0","0","0","0","0"
"3","8","6","2","0","0","0","0","0","0","0"
"4","8","5","0","1","0","0","0","0","0","0"
"5","8","4","1","0","0","0","0","0","0","0"
"6","8","7","3","0","0","0","0","1","0","0"
"7","8","7","1","0","0","0","0","0","0","0"
"8","8","6","1","0","0","0","0","0","0","0"
