"settlements","nb_cluster"
"townb","1"
"ilkuume","2"
"loisusu","3"
"rokor","4"
"nongorio","5"
"nambaa","6"
"chiefcenter","7"
"nairobi","8"
"manyattachini","RC"
"silango","9"
"ilpus","10"
"ilkume","11"
"leskul","RC"
"milimani","12"
"lturuyia","13"
"leyai","14"
"diribcenter","15"
"gombo","16"
"karra","17"
"dima","18"
"shukrihuqa","19"
"marsariwe","20"
"guyohalakhe","RC"
"husseinbore","21"
"tangi","22"
"galmjattani","23"
"lochumba","24"
"dokataali","25"
"daaba","26"
"boruduba","27"
"kubkubtiro","28"
"bagajoadhi","29"
"boruharocenter","30,31"
"malkalakole","RC"
"dubali","32"
"diidadhi","33"
"ilmansora","34"
"barakojaldesa","35"
"dadachhuqa","36"
"harobota","RC"
"athihuqa","37"
"manyattajillo","38"
"ilmandida","39"
"warioduba","40"
"garqarsa","41"
