"HH","Cluster","HH_members_Total","HH_members_u5","joined_HH_total","joined_HH_u5","left_HH_total","left_HH_u5","Births","Deaths_Total","Deaths_u5"
"1","1","5","1","0","0","0","0","0","0","0"
"2","1","5","1","0","0","0","0","0","0","0"
"3","1","6","2","2","2","0","0","0","0","0"
"4","1","7","2","0","0","0","0","0","0","0"
"6","1","5","0","0","0","0","0","0","0","0"
"7","1","4","0","0","0","0","0","0","0","0"
"8","1","7","2","0","0","0","0","0","0","0"
"9","1","5","1","1","1","0","0","0","0","0"
"11","1","3","2","2","2","0","0","0","0","0"
"12","1","4","2","1","1","0","0","0","0","0"
"13","1","4","2","0","1","0","0","0","0","0"
"14","1","6","1","1","1","0","0","0","0","0"
"1","3","4","2","0","0","0","0","1","0","0"
"2","3","2","0","0","0","0","0","0","0","0"
"3","3","3","2","0","0","0","0","0","0","0"
"4","3","4","1","0","0","0","0","0","0","0"
"6","3","5","0","0","0","0","0","0","0","0"
"7","3","3","1","0","0","0","0","0","0","0"
"8","3","4","0","0","0","0","0","0","0","0"
"9","3","6","2","0","0","0","0","0","0","0"
"11","3","6","1","0","0","0","0","0","0","0"
"12","3","4","2","0","0","0","0","1","0","0"
"13","3","4","2","0","0","0","0","0","0","0"
"14","3","3","0","0","0","0","0","0","0","0"
"1","4","7","2","0","","0","0","0","0","0"
"2","4","4","2","0","0","0","0","0","0","0"
"3","4","6","1","0","0","0","0","0","0","0"
"4","4","3","1","0","0","0","0","0","0","0"
"6","4","3","1","0","0","0","0","0","0","0"
"7","4","3","1","0","0","0","0","0","0","0"
"8","4","6","2","0","0","0","0","0","0","0"
"9","4","3","1","0","0","0","0","0","0","0"
"11","4","3","1","0","0","0","0","0","0","0"
"12","4","6","2","0","0","0","0","0","0","0"
"13","4","5","1","0","0","0","0","0","0","0"
"14","4","7","1","0","0","0","0","0","0","0"
"1","5","5","1","0","0","0","0","0","0","0"
"2","5","6","2","0","0","0","0","0","0","0"
"3","5","6","3","0","0","0","0","1","0","0"
"4","5","1","0","0","0","0","0","0","0","0"
"6","5","5","2","0","0","0","0","0","0","0"
"7","5","4","2","0","0","0","0","0","0","0"
"8","5","5","1","0","0","0","0","0","0","0"
"9","5","8","2","0","0","0","0","0","0","0"
"11","5","2","0","0","0","0","0","0","0","0"
"12","5","5","1","0","0","0","0","0","0","0"
"13","5","7","3","0","0","0","0","0","0","0"
"14","5","6","2","0","0","0","0","0","0","0"
"1","6","12","2","0","0","0","0","0","0","0"
"2","6","11","1","0","0","0","0","0","0","0"
"3","6","5","2","0","0","0","0","0","0","0"
"4","6","5","0","0","0","0","0","0","0","0"
"6","6","6","1","0","0","0","0","0","0","0"
"7","6","8","1","0","0","0","0","0","0","0"
"8","6","3","1","0","0","0","0","0","0","0"
"9","6","3","1","0","0","0","0","0","0","0"
"11","6","4","2","0","0","0","0","0","0","0"
"12","6","7","1","0","0","0","0","0","0","0"
"13","6","5","1","0","0","0","0","0","0","0"
"14","6","6","1","0","0","0","0","0","1","0"
"1","7","3","1","2","2","0","0","0","1","0"
"2","7","6","0","0","0","0","0","0","0","0"
"3","7","6","2","2","2","0","0","0","0","0"
"4","7","4","1","0","0","0","0","1","0","0"
"6","7","5","0","1","0","0","0","0","0","0"
"7","7","4","1","0","0","0","0","0","0","0"
"8","7","3","1","1","0","0","0","0","1","0"
"9","7","4","1","1","1","0","0","0","0","0"
"11","7","7","1","0","0","0","0","0","0","0"
"12","7","2","0","1","1","0","0","0","0","0"
"13","7","4","2","2","2","0","0","0","0","0"
"14","7","3","1","0","1","0","0","0","0","0"
"1","8","6","0","0","0","0","0","0","0","0"
"2","8","6","0","0","0","0","0","0","0","0"
"3","8","3","1","0","0","0","0","0","0","0"
"4","8","9","1","0","0","0","0","0","0","0"
"6","8","4","1","0","0","0","0","0","0","0"
"7","8","6","0","0","0","0","0","0","0","0"
"8","8","8","0","0","0","0","0","0","0","0"
"9","8","5","1","0","0","0","0","0","0","0"
"11","8","5","0","0","0","0","0","0","0","0"
"12","8","4","1","0","0","0","0","0","0","0"
"13","8","6","1","0","0","0","0","0","0","0"
"14","8","3","0","0","0","0","0","0","0","0"
"1","9","9","1","0","0","0","0","0","0","0"
"2","9","6","2","0","0","0","0","0","0","0"
"3","9","4","2","0","0","0","0","0","0","0"
"4","9","8","1","0","0","0","0","0","0","0"
