"settlements","nb_cluster"
"ekipetot","1"
"kabogorit","2"
"market","3"
"america","5"
"lokiding","6"
"nakwasinyen","7"
"kiwanjandege","8"
"lopacho","9"
"nadapalcentral","10"
"natirae","11"
"towokayeni","12"
"asikiriait","RC"
"nachomin","13"
"achukulestadiumngidiritipuru","14"
"lomunyana","15"
"achuchukait","16"
"ngirapidi","RC"
"ngikengoi","RC"
"ngipotipoko","17"
"lochaekaal","18"
"lotorob","19"
"kalemchuch","20"
"kamnyaep","RC"
"lokiripetonamon","21"
"waterpoint","22"
"nakwasuro","23"
"naurikori","24"
"kobuin","25"
"nakwakitela","26"
"lorus","27"
"nalamacha","28"
"ngiwoyasike","29"
"natiir","30"
"locherereg","31"
"kapetajem","32"
