"settlements","nb_cluster"
"manyattajuu","1"
"manyattacomboni","2"
"mlawai","3"
"naigero","4"
"sidaimurtkagnkutotolerai","5"
"lpusi","6"
"losidan","7"
"ndikir","8"
"lorora","9"
"ntumo","10"
"aiccentre","11"
"trinityvillage","12"
"galdeyllantorder","13"
"naaboc","14"
"dubsahaynoolaso","15"
"reysimgobanaysuper","16"
"saalesegelan","17"
"gooborrebarnai","18"
"uraweensilamo","19"
"nahganmachan","20"
"lmekinya","21"
"sukuroi","22"
"ongelimago","23"
"lmongoi","24"
"lukumai","25"
"almooti","RC"
"alukumai","26"
"loruko","27"
"manyattajuuwest","RC"
"odhola","28"
"lgos","29"
"soweto","30"
"serima","31"
"kilimambogo","32"
"kiwanja","33"
"palo","34"
"nakakolea","RC"
"lgoon","35"
"ntumo","36"
"nkororoicentre","37"
"dupsahailkiminigi","38"
"galoro","39"
"galtheilan","40"
"segengeathi","41"
"rongumomorub","RC"
"ketepes","RC"
"keree","42"
