"HH","Cluster","HH_members_Total","HH_members_u5","joined_HH_total","joined_HH_u5","left_HH_total","left_HH_u5","Births","Deaths_Total","Deaths_u5"
"5","13","7","1","","","","","1","",""
"6","13","4","1","","","","","1","",""
"7","13","3","1","","","","","","",""
"8","13","3","1","","","","","","",""
"9","13","3","1","","","","","","",""
"10","13","5","1","","","","","","",""
"11","13","5","2","","","","","","",""
"12","13","5","1","","","","","1","",""
"13","13","5","2","","","","","","",""
"14","13","5","3","","","","","","",""
"15","13","5","1","","","","","1","",""
"1","14","5","1","","","","","","",""
"2","14","8","1","","","","","","",""
"3","14","4","1","","","","","","","1"
"4","14","5","3","","","","","","",""
"5","14","3","1","","","","","","",""
"6","14","3","1","","","","","","",""
"7","14","4","2","","","","","","",""
"8","14","6","1","","","","","","",""
"9","14","5","1","","","","","","",""
"10","14","4","2","","","","","","",""
"11","14","3","1","","","","","","",""
"12","14","5","3","","","","","","",""
"13","14","4","1","","","","","","",""
"14","14","4","1","1","","","","","",""
"15","14","5","1","","","","","","",""
"1","15","9","2","","","","","","",""
"2","15","3","1","","","","","","",""
"3","15","4","2","","","","","","",""
"4","15","9","2","","","","","","",""
"5","15","5","2","","","","","","",""
"6","15","7","3","","","","","","",""
"7","15","6","1","","","","","","",""
"8","15","6","1","","","","","1","",""
"9","15","3","1","","","","","","1",""
"10","15","5","1","","","","","","",""
"11","15","2","0","","","","","","",""
"12","15","7","1","","","","","1","",""
"13","15","6","2","","","","","1","",""
"14","15","3","1","","","","","","",""
"15","15","4","1","","","","","","",""
"1","16","4","1","","","","","","",""
"2","16","5","1","","","","","1","",""
"3","16","5","3","","","","","","",""
"4","16","3","1","","","","","","",""
"5","16","6","2","","","","","","",""
"6","16","4","2","","","","","","",""
"7","16","4","2","","","","","","",""
"8","16","3","1","","","","","","",""
"9","16","3","1","","","","","","",""
"10","16","5","2","","","","","","",""
"11","16","4","1","","","","","","",""
"12","16","4","1","","","","","","",""
"13","16","3","1","","","","","","",""
"14","16","4","1","","","","","","",""
"15","16","3","0","","","","","","",""
"1","17","7","2","","","","","","",""
"2","17","7","1","","","","","","",""
"3","17","7","1","","","","","","",""
"4","17","3","1","","","","","1","",""
"5","17","7","4","2","","","","","",""
"6","17","10","1","","","","","","",""
"7","17","6","2","1","","","","","",""
"8","17","11","2","","","","","","",""
"9","17","7","2","","","","","","",""
"10","17","5","1","","","","","","",""
"11","17","5","2","","","","1","","",""
"12","17","7","2","1","","","","","",""
"13","17","11","3","1","","","","","",""
"14","17","9","3","","","","","","",""
"15","17","5","2","","","","","","",""
"1","18","10","1","2","","","","","",""
"2","18","3","1","","","","","","",""
"3","18","9","2","","","","","","",""
"4","18","8","1","","","","","","",""
"5","18","8","2","","","","","","",""
"6","18","9","3","","","","","1","",""
"7","18","7","1","","","","","","",""
"8","18","11","1","","","","","","",""
"9","18","6","1","","","","","","",""
"10","18","9","2","","","","","","",""
"11","18","6","3","","","1","","1","",""
"12","18","5","3","","","","","","",""
"13","18","6","2","","","","","","",""
"14","18","14","3","","","","","","",""
"15","18","7","3","","","","","","",""
"1","19","14","1","","","","","","",""
"2","19","3","1","","","","","","",""
"3","19","7","2","","","1","","","",""
"4","19","8","2","2","","","","","",""
"5","19","7","2","1","","","","","",""
"6","19","11","2","","","","","","",""
"7","19","6","2","","","","","","",""
"8","19","8","3","","","","","","",""
"9","19","6","2","","","","","","",""
"10","19","6","2","","","","","","",""
"11","19","6","1","","","","","","",""
"12","19","2","0","","","","","","",""
"13","19","3","1","","","3","","","",""
"14","19","7","1","1","","","","","",""
"15","19","12","2","3","","","","","",""
"1","20","9","2","1","","","","","",""
"2","20","3","1","","","","","","",""
"3","20","8","2","1","","","","","",""
"4","20","4","1","","","","","","",""
"5","20","6","2","","","","","","",""
"6","20","7","3","1","","","","","",""
"7","20","3","0","","","","","","",""
"8","20","6","3","","","","","","",""
"9","20","8","1","","","","","","",""
"10","20","6","1","","","","","","",""
"11","20","10","2","1","","","","","",""
"12","20","9","2","","","","","","",""
"13","20","2","0","1","","","","","",""
"14","20","6","1","","","","","","",""
"15","20","7","2","1","","","","","",""
"1","21","5","0","","","1","","","",""
"2","21","10","3","","","","","","",""
"3","21","8","2","","","","","","",""
"4","21","10","3","","","","","","",""
"5","21","8","1","","","","","","",""
"6","21","3","1","","","","","","",""
"7","21","6","2","","","","","","",""
"8","21","6","2","","","","","","",""
"9","21","7","1","","","","","","",""
"10","21","4","2","","","","","","",""
"11","21","8","1","","","","","","",""
"12","21","4","2","","","","","1","",""
"13","21","9","2","","","","","1","",""
"14","21","8","1","","","","","","",""
"15","21","11","2","","","","","","",""
"1","22","11","2","","","","","","",""
"2","22","9","2","","","","","","",""
"3","22","4","1","","","1","","","",""
"4","22","4","2","","","","","","",""
"5","22","4","0","","","","","","",""
"6","22","8","2","","","","","","",""
"7","22","15","3","","","","","","",""
"8","22","6","0","","","","","","",""
"9","22","5","1","","","","","","",""
"10","22","2","0","","","","","","",""
"11","22","5","2","","","","","","",""
"12","22","9","1","","","","","","",""
"13","22","6","3","","","","","","",""
"14","22","6","2","","","","","","",""
"15","22","10","3","","","","","","",""
"1","23","9","3","","","","","","",""
"2","23","4","1","1","","","","","",""
"3","23","3","0","","","","","","",""
"4","23","6","2","","","","","","",""
"5","23","8","2","","","","","","",""
"6","23","8","1","","","","","","",""
"7","23","8","3","","","","","","",""
"8","23","6","0","","","1","","","",""
"9","23","7","2","","","","","","",""
"10","23","5","2","1","","","1","","",""
"11","23","6","2","","","","","","",""
"12","23","2","0","","","","","","",""
"13","23","10","1","","","","","","",""
"14","23","10","2","","","","","","",""
"15","23","11","2","","","","","","",""
"1","24","10","4","","","","","","",""
"2","24","3","0","","","","","","",""
"3","24","2","1","","","","","","",""
"4","24","3","1","1","","","","","",""
"5","24","5","0","","","","","","",""
"6","24","9","1","","","","","","",""
"7","24","5","3","","","","","","",""
"8","24","6","1","","","","","","",""
"9","24","6","1","1","","","","","",""
"10","24","4","1","","","","","","",""
"11","24","6","2","","","","","","",""
"12","24","6","2","","","","","","",""
"13","24","8","2","","","","","","",""
"14","24","6","3","","","","","","",""
"15","24","9","1","","","","","","",""
"1","25","6","3","","","","","","",""
"2","25","4","2","","","","","","",""
"3","25","3","1","","","","","","",""
"4","25","4","3","","","","","","",""
"5","25","4","2","","","","","","",""
"6","25","4","2","","","","","","",""
"7","25","3","1","","","","","","",""
"8","25","2","1","","","","","","",""
"9","25","5","1","","","1","","","",""
"10","25","3","1","","","","","","",""
"11","25","6","3","","","","","1","",""
"12","25","2","1","","","1","","","",""
"13","25","3","1","","","","","","",""
"14","25","4","2","","","","","1","",""
"15","25","4","2","","","","","","",""
"1","26","6","2","","","","","","",""
"2","26","7","3","","","","","","",""
"3","26","4","2","","","","","","",""
"4","26","4","2","","","","","","",""
"5","26","4","1","","","","","","",""
"6","26","4","1","","","","","","",""
"7","26","4","2","","","","","","",""
"8","26","6","2","","","","","","",""
"9","26","5","3","","","","","","",""
"10","26","2","1","","","","","","",""
"11","26","3","1","","","","","","",""
"12","26","5","1","","","","","","",""
"13","26","6","1","","","","","","",""
"14","26","2","0","","","","","","",""
"15","26","9","2","","","1","","","",""
"1","27","9","3","","","","","","",""
"2","27","7","2","","","","","","",""
"3","27","4","2","","","","","","",""
"4","27","3","0","","","","","","",""
"5","27","5","1","","","","","","",""
"6","27","3","1","","","","","","",""
"7","27","4","0","","","","","","",""
"8","27","9","1","","","","","","",""
"9","27","12","3","","","","","","",""
"10","27","4","2","","","","","","",""
"11","27","7","2","1","","","","1","",""
"12","27","4","2","","","","","","",""
"13","27","6","2","1","","","","","",""
"14","27","3","0","","","","","","",""
"15","27","7","2","","","","","","",""
"1","28","8","2","6","","","","","",""
"2","28","7","3","","","","","","",""
"3","28","8","3","","","","","","",""
"4","28","4","1","","","","","","",""
"5","28","8","1","","","","","","",""
"6","28","6","2","","","","","1","",""
"7","28","7","2","","","","","","",""
"8","28","6","2","","","","","","",""
"9","28","5","2","","","","","","",""
"10","28","9","2","","","","","","",""
"11","28","5","0","","","","","","",""
"12","28","4","2","","","","","","",""
"13","28","10","2","","","","","","",""
"14","28","4","1","","","","","","",""
"15","28","2","0","","","","","","","1"
"1","29","7","2","","","","","","",""
"2","29","7","2","","","","","","",""
"3","29","11","2","","","","","","",""
"4","29","7","3","","","","","","",""
"5","29","11","2","","","","","","",""
"6","29","7","2","","","","","","",""
"7","29","6","1","","","","","","",""
"8","29","5","2","","","","","","",""
"9","29","6","2","","","","","","",""
"10","29","6","2","","","","","","","1"
"11","29","3","1","","","","","","",""
"12","29","9","1","","","","","","",""
"13","29","2","0","","","","","","",""
"14","29","1","0","","","","","","1",""
"15","29","4","0","","","","","","",""
"1","30","10","2","","","","","","",""
"2","30","6","0","","","","","","",""
"3","30","13","2","","","","","","",""
"4","30","4","1","","","","","","",""
"5","30","3","1","","","","","","",""
"6","30","4","1","","","","","","",""
"7","30","4","2","","","","","","",""
"8","30","4","1","","","","","","",""
"9","30","4","2","","","","","","",""
"10","30","8","3","","","","","","",""
"11","30","6","1","3","","","","","",""
"12","30","3","1","","","","","","",""
"13","30","3","1","","","","","","",""
"14","30","5","0","","","","","","",""
"15","30","2","0","1","","","","","",""
"1","31","4","2","","","1","","","",""
"2","31","6","1","","","","","","",""
"3","31","3","1","","","","","","",""
"4","31","4","2","","","","","","",""
"5","31","5","2","","","","","","",""
"6","31","2","1","","","","","","",""
"7","31","4","1","","","","","","",""
"8","31","3","1","","","1","","","",""
"9","31","4","1","","","","","","",""
"10","31","3","1","","","","","","",""
"11","31","3","1","","","","","","",""
"12","31","5","2","","","","","","",""
"13","31","3","1","","","","","","",""
"14","31","2","1","","","","","","",""
"15","31","6","1","","","","","","",""
"1","32","10","1","","","","","","",""
"2","32","8","3","","","","","","",""
"3","32","5","2","","","","","","",""
"4","32","8","3","","","","","","",""
"5","32","5","1","","","","","","",""
"6","32","3","1","","","","","","",""
"7","32","9","2","","","","","","",""
"8","32","9","2","","","","","1","",""
"9","32","10","2","","","","","","",""
"10","32","8","2","","","","","","",""
"11","32","11","1","","","","","","",""
"12","32","5","1","1","","","","","",""
"13","32","2","1","","","1","","","",""
"14","32","3","1","","","","","","",""
"15","32","1","0","","","","","","",""
"1","33","9","0","","","","","","",""
"2","33","7","2","","","","","","",""
"3","33","7","3","","","","","","",""
"4","33","7","0","","","","","","",""
