"settlements","nb_cluster"
"hulughotownshipa","1"
"hulughotownshipb","2"
"garabeycentre","3"
"muftuburukow","4"
"ilmadamoy","5"
"marrecentre","6"
"handaro","7"
"hamesaarba","8"
"rahma","9"
"qoriyale","10"
"carlifornia","11"
"bullalight","12"
"bullalibahlow","13"
"bullamosque","14"
"bullasheikh","RC"
"bahuri","15"
"bulanyanya","16"
"haji","17"
"dagelema","18"
"buladeydey","19"
"bullaqarjajawa","20"
"bulasheikh","21"
"aulyahanqoray","RC"
"masalanitownship","22"
"bullaabdisigud","RC"
"barasapark","23"
"sakatownship","24"
"sikley","25"
"jarajaratownship","26"
"abdisamattownship","27"
"bullariiq","28"
"adc","29"
"chiefcampbullahidayautawala","30"
"kambimoto","31"
"bullapunda","RC"
"bullamodika","32"
"survey","RC"
"tawakal","33"
"elder","34"
"warable","35"
"amumatownship","36"
"harbole","37"
"idp","38"
"tokojotownship","39"
"biyobombi","40"
"modogashetownship","41"
"barkuke","42"
